,team_name,year,wins,losses,win_percent,goal_for,goal_against
0,Boston Bruins,1990,44,24,0.55,299,264
1,Buffalo Sabres,1990,31,30,0.388,292,278
2,Calgary Flames,1990,46,26,0.575,344,263
3,Chicago Blackhawks,1990,49,23,0.613,284,211
4,Detroit Red Wings,1990,34,38,0.425,273,298
5,Edmonton Oilers,1990,37,37,0.463,272,272
6,Hartford Whalers,1990,31,38,0.388,238,276
7,Los Angeles Kings,1990,46,24,0.575,340,254
8,Minnesota North Stars,1990,27,39,0.338,256,266
9,Montreal Canadiens,1990,39,30,0.487,273,249
10,New Jersey Devils,1990,32,33,0.4,272,264
11,New York Islanders,1990,25,45,0.312,223,290
12,New York Rangers,1990,36,31,0.45,297,265
13,Philadelphia Flyers,1990,33,37,0.412,252,267
14,Pittsburgh Penguins,1990,41,33,0.512,342,305
15,Quebec Nordiques,1990,16,50,0.2,236,354
16,St. Louis Blues,1990,47,22,0.588,310,250
17,Toronto Maple Leafs,1990,23,46,0.287,241,318
18,Vancouver Canucks,1990,28,43,0.35,243,315
19,Washington Capitals,1990,37,36,0.463,258,258
20,Winnipeg Jets,1990,26,43,0.325,260,288
21,Boston Bruins,1991,36,32,0.45,270,275
22,Buffalo Sabres,1991,31,37,0.388,289,299
23,Calgary Flames,1991,31,37,0.388,296,305
24,Chicago Blackhawks,1991,36,29,0.45,257,236
25,Boston Bruins,1990,44,24,0.55,299,264
26,Buffalo Sabres,1990,31,30,0.388,292,278
27,Calgary Flames,1990,46,26,0.575,344,263
28,Chicago Blackhawks,1990,49,23,0.613,284,211
29,Detroit Red Wings,1990,34,38,0.425,273,298
30,Edmonton Oilers,1990,37,37,0.463,272,272
31,Hartford Whalers,1990,31,38,0.388,238,276
32,Los Angeles Kings,1990,46,24,0.575,340,254
33,Minnesota North Stars,1990,27,39,0.338,256,266
34,Montreal Canadiens,1990,39,30,0.487,273,249
35,New Jersey Devils,1990,32,33,0.4,272,264
36,New York Islanders,1990,25,45,0.312,223,290
37,New York Rangers,1990,36,31,0.45,297,265
38,Philadelphia Flyers,1990,33,37,0.412,252,267
39,Pittsburgh Penguins,1990,41,33,0.512,342,305
40,Quebec Nordiques,1990,16,50,0.2,236,354
41,St. Louis Blues,1990,47,22,0.588,310,250
42,Toronto Maple Leafs,1990,23,46,0.287,241,318
43,Vancouver Canucks,1990,28,43,0.35,243,315
44,Washington Capitals,1990,37,36,0.463,258,258
45,Winnipeg Jets,1990,26,43,0.325,260,288
46,Boston Bruins,1991,36,32,0.45,270,275
47,Buffalo Sabres,1991,31,37,0.388,289,299
48,Calgary Flames,1991,31,37,0.388,296,305
49,Chicago Blackhawks,1991,36,29,0.45,257,236
50,Boston Bruins,1990,44,24,0.55,299,264
51,Buffalo Sabres,1990,31,30,0.388,292,278
52,Calgary Flames,1990,46,26,0.575,344,263
53,Chicago Blackhawks,1990,49,23,0.613,284,211
